id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
20749,T09A,Ipotesi di intesa per il rinnovo del CCNL della dirigenza medica degli Ospedali classificati 2016-2018,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Ponte per i dirigenti medici dipendenti degli Ospedali Classificati ed IRCCS (T09A).txt,4980,0.0253,noisy
14529,H121,CCNL 26 maggio 2009 dei dipendenti da farmacia privata,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo 14 novembre 2011 ad integrazione e modifica del CCNL 26 maggio 2009 (H121).txt,6776,0.0244,noisy
19802,K574,CCNL Multiservizi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL Multiservizi (K574).txt,3064,0.0277,noisy
18849,I170,"CCNL per la distribuzione delle merci, della logistica e dei servizi privati","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL per la distribuzione delle merci, della logistica e dei servizi privati (I170).txt",4019,0.0211,noisy
19585,K574,Accordo interconfederale integrativo e modificativo del CCNL Multiservizi del 23/05/2019,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL Multiservizi (K574).txt,3064,0.0277,noisy
19266,C053,CCNL addetti all'industria metalmeccanica privata e alla installazione impianti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL addetti all'industria metalmeccanica privata e alla installazione impianti (C053).txt,2798,0.0311,noisy
17940,T09A,CCNL ARIS ANMIRS Biennio economico 2006-2007,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Ponte per i dirigenti medici dipendenti degli Ospedali Classificati ed IRCCS (T09A).txt,4980,0.0253,noisy
19586,I170,"Accordo interconfederale integrativo e modificativo del CCNL per la distribuzione delle merci, della logistica e dei servizi privati del 29/04/2019","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL per la distribuzione delle merci, della logistica e dei servizi privati (I170).txt",4019,0.0211,noisy
18086,I170,"CCNL per la distribuzione delle merci, della logistica e dei servizi privati","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo economico del CCNL per la distribuzione delle merci, della logistica e dei servizi privati (I170).txt",4019,0.0211,noisy
19583,T19E,"Verbale di interpretazione autentica - CCNL per il personale dipendente da Croce Rossa Italiana, enti del terzo settore, organizzazioni di volontariato, fondazioni","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per il personale dipendente da Croce Rossa Italiana, enti del terzo settore, organizzazioni di volontariato, fondazioni (T19E).txt",95,0.0,severe
15010,B012,Sottoscrizione per adesione dell'Accordo 4 aprile 2013 di rinnovo del CCNL per gli addetti all'industria Chimica-Farmaceutica Settore Coibentazioni Termiche Acustiche,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di adesione al CCNL per gli addetti all'industria chimica-farmaceutica, settore Coibentazioni Termiche Acustiche 27 maggio 2010 (B012).txt",380,0.0079,severe
6926,I644,VA Ccnl per i marittimi extra-comunitari imbarcati su navi da carico/passeggeri iscritte nel Registro Internazionale Italiano e su navi da carico/passeggeri in bare-boat,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/VA Ccnl per i marittimi extra-comunitari imbarcati su navi da caricopasseggeri iscritte nel Registro Internazionale Italiano e su navi da caricopasseg (I644).txt,63,0.0,severe
20115,B012,Ipotesi di Accordo di rinnovo del CCNL per gli addetti all'industria Chimica settore Coibentazioni Termiche Acustiche,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di adesione al CCNL per gli addetti all'industria chimica-farmaceutica, settore Coibentazioni Termiche Acustiche 27 maggio 2010 (B012).txt",380,0.0079,severe
18802,C01H,Rinnovo del CCNL per i dipendenti delle PMI del settore metalmeccanico,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti delle PMI del settore metalmeccanico (C01H).txt,439,0.0091,severe
16381,C01H,CCNL per i dipendenti delle PMI del settore metalmeccanico,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti delle PMI del settore metalmeccanico (C01H).txt,439,0.0091,severe
19811,F08W,CCNL per i dipendenti delle imprese edili artigiane e delle piccole e medie imprese industriali edili e affini,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti delle imprese edili artigiane e delle piccole e medie imprese industriali edili e affini (F08W).txt,206,0.0,severe
20071,F08W,Verbale di accordo integrativo della parte economica del CCNL 20 luglio 2022 per i dipendenti delle imprese edili artigiane e delle piccole e medie imprese industriali edili e affini,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i dipendenti delle imprese edili artigiane e delle piccole e medie imprese industriali edili e affini (F08W).txt,206,0.0,severe
11178,B012,"Accordo di adesione al CCNL per gli addetti all'industria chimica-farmaceutica, settore Coibentazioni Termiche Acustiche 27 maggio 2010","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di adesione al CCNL per gli addetti all'industria chimica-farmaceutica, settore Coibentazioni Termiche Acustiche 27 maggio 2010 (B012).txt",380,0.0079,severe
16757,V714,"CCNL per i lavoratori dipendenti delle aziende e cooperative esercenti attività del settore COMMERCIO, TERZIARIO, SERVIZI, TRASPORTI E LOGISTICA, ARTIGIANATO","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori dipendenti delle aziende e cooperative esercenti attività del settore COMMERCIO, TERZIARIO, SERVIZI, TRASPORTI E LOGISTICA, ARTI (V714).txt",1146,0.1562,severe
